pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,Escort,Bike,1,1,4.7835,31.89,22.2,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,3,9,11.13026292,74.20175282,56.79397504,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,4,4,10.58458314,70.56388763,54.92388763,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,5,19,8.32837366,55.51644375,41.41591744,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,6,26,7.571141865,49.88923151,36.6065392,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,7,43,10.29052988,68.5171953,50.70231157,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,8,81,7.944949747,52.94525202,38.5730298,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,9,124,7.623183481,50.62123033,36.80695614,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,10,181,4.930336068,32.77188929,21.57023183,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,11,152,4.281808018,28.42244769,18.60435559,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,12,122,5.931174794,39.46356967,27.50914344,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,13,127,5.54452877,36.88686086,25.43544353,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,14,106,4.940827468,32.90932339,21.50121018,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,15,106,4.715809546,31.27664245,20.41654811,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,16,108,4.424193296,29.47709836,19.05756132,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,17,79,4.173458445,27.76723543,18.08495695,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,18,54,4.135542054,27.48316149,16.91575408,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,19,34,4.746229914,31.61507702,20.14448879,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,20,21,3.68298535,24.46930709,14.92692614,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,21,7,3.352979441,22.35319627,12.95748199,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,22,6,3.060663221,20.38264117,11.8709745,soundcast_2040_constrained
Child Age 0-4,Escort,Bike,23,2,10.5646915,70.43127667,52.77127667,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,0,7,2.932645761,10.09971181,-0.10743105,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,1,4,4.3125,11.8925,-0.0025,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,2,2,2.017057955,11.25702946,3.137029461,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,3,139,4.741346462,11.71373387,-0.234971163,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,4,148,3.314311237,9.766039761,-0.383419699,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,5,252,4.134089941,12.01394787,0.96446374,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,6,1007,3.772203287,11.69393914,1.056163572,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,7,1788,4.140897492,12.56495395,1.478510998,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,8,2082,4.369966409,12.48214902,1.101399739,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,9,2532,4.477969117,12.35767049,0.74325896,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,10,2296,4.565932807,12.18399799,0.470308969,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,11,1840,4.488852039,12.12436905,0.407657093,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,12,1691,4.756324611,12.49597833,0.442341429,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,13,1668,4.408839043,11.8748703,0.395829531,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,14,1585,4.339883185,12.01556144,0.592072477,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,15,1760,4.168888706,12.26647697,0.994090609,soundcast_2040_constrained
Child Age 0-4,Escort,HOV2,16,1524,4.04310385,12.47552428,1.388037399,soundcast_2040_constrained
