pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,Meal,Bike,10,21,3.947966647,26.28024542,17.22262637,soundcast
Child Age 0-4,Meal,Bike,11,15,2.374468863,15.7463665,7.82569983,soundcast
Child Age 0-4,Meal,Bike,12,20,2.92493569,19.41594753,11.34694753,soundcast
Child Age 0-4,Meal,Bike,13,19,1.320936284,8.682570976,1.713623607,soundcast
Child Age 0-4,Meal,Bike,14,16,1.607013001,10.69204217,3.846417169,soundcast
Child Age 0-4,Meal,Bike,15,16,1.851033409,12.29565202,5.473777019,soundcast
Child Age 0-4,Meal,Bike,16,16,3.865571819,25.77047879,15.28172879,soundcast
Child Age 0-4,Meal,Bike,17,12,2.515318169,16.70253148,9.506698144,soundcast
Child Age 0-4,Meal,Bike,18,10,2.948209192,19.49275825,11.11475825,soundcast
Child Age 0-4,Meal,Bike,19,8,4.68232431,31.13954843,21.29204843,soundcast
Child Age 0-4,Meal,Bike,20,6,2.00618438,13.37456253,5.164562534,soundcast
Child Age 0-4,Meal,Bike,21,3,2.322181571,15.48121047,6.394543805,soundcast
Child Age 0-4,Meal,HOV2,0,4,6.899783049,16.78632785,0.296327851,soundcast
Child Age 0-4,Meal,HOV2,1,1,0.632504924,3.27184646,-0.91815354,soundcast
Child Age 0-4,Meal,HOV2,2,1,7.62,15.74,-0.02,soundcast
Child Age 0-4,Meal,HOV2,3,15,2.966863232,9.466824399,-0.409175601,soundcast
Child Age 0-4,Meal,HOV2,4,22,4.028363556,11.04238043,-0.328528665,soundcast
Child Age 0-4,Meal,HOV2,5,57,5.284332788,13.5332951,1.000488084,soundcast
Child Age 0-4,Meal,HOV2,6,200,3.954087814,12.02791471,1.315564708,soundcast
Child Age 0-4,Meal,HOV2,7,363,3.690829653,11.34644742,0.908733925,soundcast
Child Age 0-4,Meal,HOV2,8,537,4.036656116,11.51143852,0.869445971,soundcast
Child Age 0-4,Meal,HOV2,9,650,4.06767082,11.13525096,0.430389418,soundcast
Child Age 0-4,Meal,HOV2,10,842,3.678418953,10.39479978,0.112376976,soundcast
Child Age 0-4,Meal,HOV2,11,854,3.972919199,10.70130432,0.093470594,soundcast
Child Age 0-4,Meal,HOV2,12,858,4.100267911,10.97463403,0.243503492,soundcast
Child Age 0-4,Meal,HOV2,13,929,4.057777124,10.87499659,0.142423934,soundcast
Child Age 0-4,Meal,HOV2,14,855,4.023220411,10.97185724,0.205401103,soundcast
Child Age 0-4,Meal,HOV2,15,794,4.371417112,11.89115757,0.735351525,soundcast
Child Age 0-4,Meal,HOV2,16,789,3.946402518,11.61278327,0.952973384,soundcast
Child Age 0-4,Meal,HOV2,17,691,4.501664337,12.29578347,0.913149608,soundcast
Child Age 0-4,Meal,HOV2,18,595,4.652885051,12.47440679,0.651347965,soundcast
Child Age 0-4,Meal,HOV2,19,405,4.494682463,11.64044857,0.258028819,soundcast
Child Age 0-4,Meal,HOV2,20,267,4.442638802,10.89153042,-0.258731754,soundcast
Child Age 0-4,Meal,HOV2,21,154,4.478801152,11.55063024,0.051669199,soundcast
Child Age 0-4,Meal,HOV2,22,64,5.8210439,13.21099426,-0.111193239,soundcast
Child Age 0-4,Meal,HOV2,23,26,3.640978526,9.565488588,-0.355665258,soundcast
Child Age 0-4,Meal,HOV3+,0,2,2.642752273,9.696405031,-0.383594969,soundcast
Child Age 0-4,Meal,HOV3+,1,2,1.835019003,6.836433239,0.706433239,soundcast
Child Age 0-4,Meal,HOV3+,2,4,6.54,14.935,-0.0425,soundcast
Child Age 0-4,Meal,HOV3+,3,15,4.317658552,12.32691003,-0.047756638,soundcast
Child Age 0-4,Meal,HOV3+,4,24,3.712522559,10.73470067,0.496784003,soundcast
Child Age 0-4,Meal,HOV3+,5,52,6.362159742,15.17670098,1.481508668,soundcast
Child Age 0-4,Meal,HOV3+,6,178,3.917770469,11.99307731,1.156897535,soundcast
